,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Price_binned,Full HD,IPS Panel
0,Dell,3,1,1,3,39.62,0.6896551724137931,4,256,2.2,634,Low,True,False
1,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.2,946,Low,True,False
2,Dell,4,2,1,5,33.78,0.5517241379310345,8,128,1.22,1244,Low,False,True
3,HP,4,2,1,7,39.62,0.6206896551724138,8,256,1.91,837,Low,True,False
4,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.2,1016,Low,True,False
5,HP,3,3,1,5,39.62,0.5517241379310345,8,256,2.1,1117,Low,True,False
6,Acer,3,2,1,5,38.1,0.5517241379310345,4,256,2.2,866,Low,False,True
7,Dell,3,1,1,5,39.62,0.8620689655172414,4,256,2.3,812,Low,True,False
8,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,2.2,1068,Low,False,True
9,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.13,975,Low,True,False
10,HP,3,2,1,3,39.62,0.6896551724137931,4,128,1.91,558,Low,True,False
11,Asus,3,2,2,3,39.62,0.6896551724137931,4,256,2,527,Low,True,False
12,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.7,1117,Low,True,False
13,Asus,3,2,1,5,35.56,0.5517241379310345,8,256,1.4,1195,Low,True,False
14,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.86,876,Low,True,False
15,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1213,Low,False,True
16,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.2,1105,Low,True,False
17,Dell,4,2,1,5,38.1,0.5517241379310345,8,256,1.88,1392,Low,False,True
18,HP,3,2,1,5,35.56,0.5517241379310345,8,256,1.63,1092,Low,True,False
19,HP,4,3,1,7,38.1,0.6206896551724138,8,256,1.83,888,Low,False,True
20,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.96,761,Low,True,False
21,Dell,4,2,1,7,33.02,0.6206896551724138,8,256,1.21,2095,Medium,False,True
22,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.65,1518,Low,True,False
23,Asus,4,2,1,7,35.56,0.9310344827586208,8,256,1.25,1333,Low,True,False
